ID	ComplexCtxs	ContraFlag	Veridical	Antiveridical	Averidical	Equals	Superclass	Subclass	Disjoint	TargetLabel
71a	0	0	1	0	0	1	0	0	0	DL
74a	0	0	1	0	0	1	1	0	0	DL
75a	0	0	1	0	0	1	0	0	1	S
76a	0	0	1	0	0	1	1	0	0	S
80a	0	0	1	0	0	1	0	1	0	B
86a	0	0	1	0	0	0	1	0	0	B
89a	0	0	1	0	0	1	0	1	0	N
92a	0	0	1	0	0	0	0	0	0	B
95a	0	0	1	0	0	0	0	1	0	B
96a	1	0	1	1	0	0	0	1	0	DL
101a	0	0	1	0	0	1	0	0	0	N
102a	0	0	1	0	0	1	0	0	0	DL
103a	0	0	1	0	0	1	0	0	0	DL
104a	0	0	1	0	0	1	0	0	0	DL
106a	0	0	1	0	0	1	0	0	0	DL
108a	1	0	1	0	0	1	0	0	0	B
109a	0	0	1	0	0	0	1	1	0	N
110a	0	0	1	0	0	1	0	0	0	DL
115a	0	0	1	0	0	0	0	0	0	B
118a	0	0	1	0	0	1	0	1	0	DL
121a	0	0	1	0	0	1	0	0	1	DL
123a	0	0	1	0	0	1	0	1	0	B
125a	0	0	1	0	0	1	0	0	1	B
128a	0	0	1	0	0	1	0	1	0	B
132a	0	0	1	1	0	1	0	0	0	B
134a	0	0	1	0	0	1	1	0	0	S
135a	1	0	1	1	0	0	0	0	0	B
137a	0	0	1	0	0	1	0	1	0	DL
138a	0	0	1	0	0	1	1	0	0	B
142a	0	0	1	0	0	1	1	0	0	DL
143a	0	0	1	1	0	1	0	0	0	DL
144a	1	0	1	0	0	0	1	0	0	B
145a	1	0	1	0	0	1	0	0	0	DL
147a	1	0	1	0	0	0	1	0	0	B
149a	0	0	1	0	0	1	0	0	0	B
151a	0	0	1	0	0	1	0	1	0	B
152a	1	0	1	1	0	1	0	0	0	B
153a	0	0	1	0	0	1	0	1	0	B
154a	1	0	1	1	0	1	0	0	0	B
155a	0	0	1	0	0	1	0	0	0	DL
156a	1	0	1	1	0	1	0	0	0	B
157a	0	0	1	0	0	1	0	0	0	B
158a	0	0	1	0	0	1	0	1	0	B
160a	1	0	1	0	0	1	0	1	0	B
162a	1	0	1	0	0	1	1	0	0	B
165a	1	0	1	0	0	0	0	1	0	B
166a	1	0	1	0	0	1	0	0	0	N
167a	0	0	1	0	0	1	0	0	0	B
168a	0	0	1	0	0	1	0	0	1	S
169a	0	0	1	0	0	1	0	0	0	B
171a	0	1	1	0	0	1	0	0	0	N
172a	1	0	1	0	0	1	0	0	0	B
174a	1	0	1	0	0	1	0	1	0	N
175a	1	0	1	0	0	1	0	0	0	B
177a	1	0	1	0	0	1	0	0	0	B
178a	0	0	1	0	0	1	0	0	0	DL
179a	1	0	1	0	1	1	0	1	1	B
180a	1	0	1	0	0	1	0	0	0	N
181a	0	0	1	0	0	1	0	1	0	B
182a	0	0	1	1	0	1	1	0	0	B
187a	0	0	1	0	0	0	1	0	0	B
189a	1	0	1	0	0	1	0	0	0	B
190a	0	0	1	0	0	1	1	0	0	B
191a	0	0	1	0	0	1	0	1	0	N
193a	0	0	1	0	0	1	0	0	0	DL
195a	0	0	1	0	0	0	1	0	0	B
196a	0	0	1	1	0	0	0	1	0	N
198a	0	0	1	1	0	0	0	1	0	N
199a	0	0	1	0	0	0	0	1	0	B
203a	0	0	1	0	0	1	0	1	0	DL
204a	0	0	1	0	0	1	0	0	0	N
206a	0	0	1	0	0	1	0	1	0	B
207a	1	0	1	1	0	1	0	0	0	N
208a	0	0	1	0	0	1	0	1	0	N
209a	0	0	1	0	0	1	0	1	0	N
210a	1	0	1	1	0	0	1	0	0	B
212a	0	0	1	0	0	1	0	0	0	DL
213a	1	0	1	0	0	0	0	1	0	B
214a	1	0	1	0	0	0	0	1	0	B
220a	0	0	1	0	0	1	0	0	0	B
221a	0	0	1	0	0	1	0	0	0	N
222a	1	0	1	0	0	1	0	1	0	S
229a	0	0	1	0	0	1	0	1	0	B
230a	0	0	1	0	0	0	0	1	0	B
231a	0	0	1	0	0	1	0	1	0	B
235a	0	0	1	1	0	0	1	0	0	B
239a	0	0	1	0	0	0	0	1	0	B
242a	0	0	1	0	0	1	0	0	0	S
243a	0	0	1	0	0	1	1	0	0	B
244a	0	0	1	0	0	1	1	0	0	DL
245a	0	0	1	0	0	1	0	0	0	DL
246a	0	0	1	0	0	0	1	1	0	B
247a	0	0	1	0	0	1	1	0	0	N
250a	0	0	1	0	0	1	0	0	0	B
251a	0	0	1	0	0	1	0	1	0	B
252a	0	0	1	0	0	1	0	0	0	B
255a	0	0	1	0	0	1	0	0	0	N
261a	0	0	1	0	0	0	0	0	0	B
262a	0	0	1	0	0	1	0	1	0	DL
263a	0	0	1	0	0	1	1	0	0	B
264a	0	0	1	0	0	1	0	0	0	S
267a	1	0	1	0	0	0	1	0	0	B
268a	1	0	1	0	0	0	1	0	0	B
270a	1	0	1	0	0	0	0	1	0	B
271a	1	0	1	0	0	0	1	0	0	B
274a	0	0	1	0	0	1	0	0	0	N
275a	0	0	1	0	0	1	0	0	0	N
278a	0	0	1	0	0	1	1	0	0	B
281a	1	0	1	0	0	0	1	0	0	B
282a	0	0	1	0	0	1	0	1	0	B
284a	0	0	1	0	0	0	0	1	0	DL
288a	1	0	1	0	0	1	0	1	0	B
290a	1	0	1	0	0	1	0	1	0	B
292a	0	0	1	0	0	1	0	0	1	DL
294a	0	0	1	0	0	1	0	0	1	S
295a	0	0	1	0	0	1	0	1	0	DL
297a	0	0	1	0	0	1	1	0	0	B
298a	0	0	1	0	0	1	1	0	0	B
299a	0	0	1	0	0	1	1	0	0	B
300a	0	0	1	0	0	1	0	0	0	DL
306a	0	1	1	0	0	0	1	0	0	B
307a	0	1	1	0	0	0	1	0	0	B
308a	1	0	1	0	0	0	0	0	0	B
314a	1	0	1	1	0	1	0	0	0	B
316a	1	0	1	0	0	0	0	0	0	B
318a	1	0	1	0	0	0	1	0	0	B
319a	1	0	1	0	0	0	1	0	0	B
320a	1	0	1	0	0	0	0	0	0	B
321a	1	0	1	0	0	0	0	0	0	B
322a	0	0	1	0	0	1	1	0	0	B
325a	1	0	1	1	0	0	0	1	0	B
328a	1	0	1	0	0	0	0	0	0	B
330a	1	0	1	0	0	0	0	0	0	B
334a	0	0	1	0	0	1	0	0	1	DL
336a	1	0	1	0	0	0	1	0	0	DL
337a	1	0	1	0	0	0	1	0	0	DL
343a	0	0	1	0	0	1	0	0	0	DL
345a	1	0	1	0	0	1	0	0	0	B
348a	1	0	1	1	0	1	0	0	0	B
349a	1	0	1	0	0	1	0	0	0	B
350a	1	0	1	0	0	1	0	0	0	B
352a	0	0	1	1	1	1	0	1	0	B
353a	0	0	1	0	0	1	0	1	0	N
355a	0	0	1	1	0	1	1	0	0	B
356a	1	0	1	0	0	1	0	1	0	DL
357a	0	0	1	1	0	1	0	1	0	S
359a	0	0	1	0	1	1	0	0	0	DL
364a	0	0	1	0	0	1	0	0	0	DL
365a	0	0	1	0	0	1	0	0	0	DL
368a	0	1	1	0	0	1	0	1	0	B
369a	0	1	1	1	0	1	1	0	0	B
371a	0	0	1	0	0	1	0	0	0	B
376a	1	0	1	0	0	1	0	0	0	DL
383a	0	0	1	0	0	1	1	0	0	B
385a	0	0	1	0	0	1	0	0	1	N
386a	0	0	1	0	0	1	1	0	0	B
388a	0	0	1	0	0	1	1	0	0	B
389a	1	0	1	0	0	1	0	0	0	B
399a	0	0	1	1	1	1	0	1	0	B
400a	1	0	1	1	0	1	0	1	0	B
401a	0	0	1	1	0	1	1	0	0	DL
405a	0	0	1	0	0	1	0	0	0	DL
406a	1	0	1	0	0	0	0	0	0	DL
407a	1	0	1	0	0	0	0	0	0	B
408a	1	0	1	0	0	0	0	0	0	DL
411a	0	0	1	0	0	1	0	1	0	DL
412a	0	0	1	0	0	1	0	1	0	DL
414a	1	0	1	0	0	1	1	0	0	DL
416a	0	0	1	0	0	1	0	1	0	B
418a	1	0	1	0	0	0	0	1	0	B
419a	1	0	1	0	0	1	0	0	0	S
420a	1	0	1	0	0	1	0	0	0	B
421a	1	0	1	0	0	1	0	0	0	B
424a	0	0	1	0	0	1	0	0	0	N
425a	0	0	1	1	0	1	1	0	0	B
426a	0	0	1	0	0	1	0	0	0	S
429a	0	0	1	0	0	1	1	0	0	B
430a	0	0	1	0	0	1	1	0	0	B
431a	1	0	1	1	0	1	0	0	0	S
432a	0	0	1	0	0	1	0	0	0	B
433a	0	0	1	0	0	1	0	0	0	B
437a	1	0	1	0	0	0	1	0	0	B
443a	1	0	1	0	0	1	0	0	0	S
444a	1	0	1	0	0	0	1	0	0	S
445a	0	0	1	0	0	0	0	1	0	B
448a	0	0	1	0	0	1	0	0	1	DL
452a	0	0	1	0	0	1	1	0	0	B
453a	0	0	1	0	0	1	0	0	1	DL
455a	0	0	1	0	0	1	0	1	0	DL
456a	1	0	1	1	0	1	1	0	0	B
458a	0	0	1	1	0	0	0	0	0	B
459a	0	0	1	0	0	0	0	0	0	B
460a	0	0	1	1	0	1	1	0	0	B
463a	1	0	1	1	0	1	0	1	0	DL
464a	0	0	1	0	0	1	0	0	0	S
466a	1	0	1	1	0	1	0	0	0	B
467a	0	0	1	0	0	0	1	1	0	B
468a	1	0	1	1	0	0	0	1	0	B
469a	0	0	1	0	0	1	0	1	0	B
471a	0	0	1	0	0	1	1	0	0	B
472a	0	0	1	0	0	0	1	1	0	B
474a	1	0	1	1	0	1	0	0	0	B
478a	1	0	1	0	0	0	1	0	0	N
479a	0	0	1	0	0	0	1	0	0	B
480a	1	0	1	1	0	0	1	0	0	B
481a	0	0	1	0	0	0	0	1	0	B
482a	0	0	1	0	0	1	0	1	0	B
483a	1	0	1	1	0	1	0	0	0	N
487a	0	0	1	0	0	1	1	0	0	B
488a	0	0	1	0	0	1	0	0	0	B
490a	0	0	1	0	0	1	0	0	0	B
492a	1	0	1	1	0	1	0	0	0	B
493a	1	0	1	0	0	1	0	0	0	B
495a	0	0	1	0	0	1	0	0	0	DL
498a	0	0	1	0	0	0	0	1	0	B
501a	0	0	1	0	0	0	0	1	0	B
502a	0	0	1	0	0	1	0	1	0	B
503a	1	0	1	1	0	1	0	0	0	B
504a	0	0	1	0	0	1	0	1	0	N
509a	1	0	1	1	0	0	1	0	0	B
510a	1	0	1	0	0	0	1	0	0	B
511a	0	0	1	0	0	1	0	1	0	B
512a	1	0	1	1	0	1	0	1	0	DL
517a	1	0	1	0	0	1	0	0	0	N
518a	0	0	1	0	0	1	0	1	0	B
519a	1	0	1	1	0	1	0	0	0	B
521a	0	0	1	0	0	1	1	1	0	B
525a	1	0	1	0	0	1	1	1	0	B
532a	0	0	1	0	0	1	0	0	0	B
533a	0	0	1	0	0	1	0	0	0	N
534a	0	0	1	0	0	1	0	1	0	DL
536a	1	0	1	0	0	1	0	1	0	B
537a	1	0	1	0	0	0	0	1	0	B
539a	1	0	1	0	0	1	0	1	0	B
540a	0	0	1	0	0	1	1	0	0	B
543a	0	0	1	0	0	1	1	0	0	B
544a	0	0	1	0	0	1	0	0	0	B
546a	0	0	1	0	0	1	0	0	0	S
547a	0	0	1	0	0	1	0	0	0	B
549a	0	0	1	0	0	1	0	1	0	DL
553a	0	0	1	0	0	1	0	0	0	B
554a	0	0	1	0	0	1	0	0	0	B
558a	0	0	1	0	0	1	0	0	0	DL
559a	0	0	1	0	0	0	0	1	0	S
562a	0	0	1	0	0	1	1	0	0	B
563a	0	0	1	0	0	0	1	1	0	B
566a	0	0	1	0	0	0	1	1	0	B
567a	0	0	1	0	0	1	0	0	0	B
569a	1	0	1	0	0	1	0	1	0	B
571a	0	0	1	1	0	1	0	0	0	B
572a	0	1	1	0	0	1	0	1	0	N
573a	1	0	1	0	0	1	1	0	0	B
574a	1	0	1	0	0	0	0	1	0	DL
575a	0	1	1	0	0	1	1	0	0	B
576a	0	0	1	0	0	0	0	1	0	DL
577a	0	0	1	0	0	1	0	1	0	B
578a	1	0	1	0	0	1	1	0	0	B
579a	0	0	1	0	0	1	1	0	0	B
580a	0	0	1	0	0	1	0	1	0	B
582a	0	0	1	0	0	1	0	0	0	S
583a	0	0	1	0	0	1	0	1	0	B
584a	1	0	1	1	0	1	0	0	0	B
585a	0	0	1	0	0	1	1	0	0	DL
589a	0	0	1	0	0	1	0	0	0	B
590a	0	0	1	0	0	1	0	1	0	B
591a	0	0	1	0	0	1	0	0	0	B
593a	0	0	1	0	0	1	0	0	0	B
594a	1	0	1	1	0	1	0	0	0	B
595a	1	0	1	0	0	0	0	0	0	B
596a	1	0	1	1	0	0	1	0	0	B
598a	0	0	1	0	0	0	0	1	0	B
600a	0	0	1	0	0	1	0	0	0	B
602a	1	0	1	1	0	1	0	0	0	DL
607a	1	0	1	1	0	1	1	0	0	B
608a	1	0	1	0	0	0	0	0	0	B
610a	1	0	1	0	0	0	1	0	0	B
612a	0	0	1	0	0	0	0	1	0	N
613a	0	0	1	0	0	1	1	0	0	S
615a	0	0	1	0	0	1	1	0	0	S
616a	0	0	1	0	0	1	1	0	0	DL
618a	1	0	1	0	0	1	0	0	0	DL
620a	1	0	1	0	0	0	1	0	0	B
624a	1	0	1	0	0	1	0	0	0	B
627a	0	0	1	0	0	1	0	0	0	DL
633a	1	0	1	1	0	1	0	0	0	DL
635a	0	0	1	0	0	1	1	0	0	B
636a	0	0	1	0	0	1	1	0	0	B
639a	0	0	1	0	0	1	0	0	0	B
640a	0	0	1	0	0	1	0	0	0	N
642a	0	0	1	0	0	1	0	0	0	B
644a	1	0	1	0	0	0	1	0	0	S
652a	0	0	1	0	0	1	0	0	0	DL
654a	0	0	1	0	0	1	0	1	0	N
656a	1	0	1	0	0	1	0	0	0	DL
658a	0	0	1	0	0	1	0	1	0	S
659a	1	0	1	0	0	1	0	0	0	DL
662a	1	0	1	1	0	1	1	0	0	DL
664a	1	0	1	0	0	1	0	1	0	N
665a	0	0	1	0	0	1	0	0	0	B
666a	0	0	1	1	0	1	0	0	0	N
667a	0	0	1	0	0	1	0	1	0	B
669a	1	0	1	0	0	0	1	0	0	S
670a	0	0	1	0	0	1	0	1	0	B
673a	0	0	1	0	0	1	0	1	0	DL
674a	0	0	1	1	0	1	0	1	0	N
675a	0	0	1	0	0	1	0	1	0	S
677a	0	0	1	0	0	1	0	0	0	N
681a	0	0	1	0	0	1	1	0	0	S
682a	0	0	1	0	0	1	1	0	0	B
683a	1	0	1	1	0	1	1	0	0	DL
684a	0	0	1	0	0	0	0	1	0	B
686a	0	0	1	0	0	1	0	0	0	B
688a	0	0	1	0	0	1	0	0	0	B
694a	0	0	1	0	0	0	1	0	0	S
695a	1	0	1	0	0	1	0	0	0	B
700a	1	0	1	0	0	0	1	0	0	B
701a	1	0	1	0	0	1	0	0	0	B
705a	0	0	1	0	0	1	0	0	0	DL
706a	1	0	1	1	0	1	1	1	0	B
707a	0	0	1	0	0	1	0	1	0	S
708a	1	0	1	1	0	0	1	0	0	DL
710a	0	0	1	0	0	0	1	0	0	B
711a	0	0	1	0	0	0	0	1	0	B
712a	0	0	1	0	0	0	0	0	0	B
713a	0	0	1	0	0	1	0	0	0	B
714a	0	0	1	0	0	1	0	0	1	DL
720a	0	0	1	1	0	1	0	0	0	B
721a	0	0	1	1	0	0	1	0	0	B
724a	0	0	1	1	0	0	0	1	0	B
726a	0	0	1	0	0	1	1	0	0	DL
739a	0	1	1	0	0	1	0	0	0	DL
740a	0	0	1	0	0	1	1	0	0	N
742a	0	0	1	0	0	1	0	0	0	B
743a	1	0	1	0	0	1	0	0	0	B
744a	0	0	1	0	0	1	0	0	0	B
750a	1	0	1	0	0	1	0	0	0	DL
751a	1	0	1	0	0	1	0	0	0	N
753a	1	0	1	1	0	1	0	0	0	B
755a	1	0	1	0	0	1	0	0	0	B
756a	1	0	1	0	0	1	0	0	0	B
758a	1	0	1	0	0	1	0	0	0	B
763a	1	0	1	0	0	0	1	0	0	S
767a	1	0	1	0	0	1	0	1	0	B
770a	1	0	1	0	0	1	1	0	0	B
771a	0	0	1	0	0	1	0	1	0	N
773a	0	0	1	0	0	1	0	0	1	DL
775a	1	0	1	0	0	1	0	0	0	DL
776a	1	0	1	0	0	0	0	1	0	B
778a	1	0	1	0	0	0	1	0	0	B
779a	1	0	1	0	0	0	1	0	0	B
781a	0	0	1	0	0	1	0	0	0	N
782a	1	0	1	1	0	1	0	0	0	B
786a	1	0	1	0	0	0	0	1	0	B
787a	1	0	1	0	0	1	0	0	0	B
788a	1	0	1	1	0	1	0	0	0	DL
790a	1	0	1	0	0	0	1	0	0	B
794a	0	0	1	0	0	1	0	0	0	B
795a	1	0	1	0	0	1	0	1	0	B
798a	1	0	1	0	0	1	0	0	0	B
800a	1	0	1	1	0	1	0	0	0	B
801a	1	0	1	0	0	1	0	0	0	B
803a	0	0	1	0	0	1	1	0	0	B
805a	0	0	1	0	0	1	1	0	0	DL
806a	1	0	1	1	0	1	0	0	0	B
807a	0	0	1	0	0	0	1	1	0	B
808a	1	0	1	0	0	1	0	0	0	N
809a	1	0	1	1	0	1	0	0	0	B
810a	0	0	1	0	0	1	1	0	0	B
814a	1	0	1	0	0	1	0	0	0	DL
815a	1	0	1	0	0	1	0	0	0	B
817a	0	0	1	0	0	1	0	0	1	S
818a	0	0	1	0	0	1	1	0	0	DL
819a	1	0	1	1	0	1	0	0	0	B
821a	1	0	1	0	0	0	1	1	0	B
823a	0	0	1	0	0	0	0	0	0	B
826a	1	0	1	0	0	0	1	0	0	B
828a	1	0	1	1	0	1	0	0	0	B
829a	1	0	1	0	0	1	0	1	0	N
832a	0	0	1	0	0	1	0	0	0	B
833a	1	0	1	0	0	1	1	0	0	B
834a	1	0	1	1	0	1	0	1	0	B
835a	1	0	1	0	0	1	0	0	0	B
837a	1	0	1	1	0	1	1	0	0	B
838a	1	0	1	0	0	1	0	0	0	B
840a	0	0	1	0	0	1	1	1	0	DL
842a	0	0	1	0	0	1	1	0	0	B
843a	0	0	1	0	0	1	0	1	0	B
847a	1	0	1	0	0	0	1	0	0	B
849a	1	0	1	0	0	1	0	0	0	B
850a	1	0	1	0	0	0	1	0	0	B
853a	0	0	1	0	0	1	1	0	0	N
854a	1	0	1	1	0	1	1	0	0	B
856a	0	0	1	0	0	1	0	1	0	S
861a	0	0	1	1	0	1	0	0	0	S
863a	0	0	1	0	0	1	1	0	0	B
865a	1	0	1	0	0	1	0	0	0	DL
871a	0	0	1	0	0	1	0	0	0	B
875a	1	0	1	0	0	0	0	0	0	B
877a	0	0	1	0	0	1	0	1	0	B
884a	1	0	1	1	0	1	1	0	0	B
885a	1	0	1	0	0	1	0	1	0	B
886a	1	0	1	0	0	1	1	0	0	B
890a	0	0	1	0	0	0	0	0	0	DL
891a	1	0	1	0	0	0	1	0	0	DL
894a	0	0	1	0	0	1	0	0	0	B
896a	0	0	1	0	0	0	0	0	0	B
897a	1	0	1	0	0	0	0	1	0	DL
900a	1	0	1	1	0	1	1	0	0	S
901a	0	0	1	0	0	1	0	1	0	S
903a	0	0	1	0	0	1	0	0	0	DL
905a	0	0	1	0	0	1	1	0	0	B
907a	1	0	1	0	0	1	1	0	0	B
911a	0	0	1	0	0	0	1	1	0	B
912a	0	0	1	0	0	1	1	0	0	S
914a	0	0	1	0	0	1	0	1	0	B
916a	0	0	1	0	0	1	1	0	0	S
918a	1	0	1	0	0	1	0	0	0	B
919a	0	1	1	0	0	1	0	0	0	B
921a	1	0	1	1	0	1	1	0	0	DL
923a	0	0	1	0	0	1	0	1	0	DL
924a	0	0	1	1	0	1	1	0	0	DL
925a	0	1	1	0	0	1	1	0	0	S
926a	0	0	1	0	0	1	0	0	0	B
928a	0	0	1	0	0	0	0	1	0	B
929a	0	0	1	0	0	0	0	1	0	B
930a	0	0	1	0	0	1	0	0	0	S
934a	0	0	1	0	0	1	0	1	0	B
937a	0	0	1	0	0	1	0	0	0	B
938a	0	0	1	0	0	1	0	0	0	DL
939a	1	0	1	0	0	1	0	0	0	DL
941a	1	0	1	0	0	0	0	1	0	B
942a	1	0	1	0	0	1	1	0	0	B
946a	1	0	1	0	0	1	0	0	0	B
951a	1	0	1	0	0	1	0	0	0	N
952a	1	0	1	0	0	1	0	1	0	N
954a	1	0	1	0	0	0	0	0	0	B
955a	1	0	1	0	0	0	1	0	0	B
958a	0	0	1	0	0	1	0	1	0	N
964a	0	0	1	1	0	1	0	1	0	B
965a	0	0	1	0	0	1	1	0	0	S
966a	0	0	1	0	0	0	0	1	0	B
968a	0	0	1	0	0	0	1	0	0	B
969a	0	1	1	0	0	1	0	1	0	DL
971a	1	0	1	0	0	1	0	0	0	B
972a	0	1	1	0	0	0	0	1	0	B
974a	1	0	1	1	0	1	1	0	0	B
976a	0	0	1	0	0	1	0	1	0	B
977a	0	0	1	0	0	1	0	0	0	B
981a	1	0	1	0	0	0	0	1	0	B
982a	0	1	1	0	0	1	0	1	0	B
983a	1	0	1	1	0	0	0	1	0	B
986a	0	0	1	0	0	1	0	1	0	B
990a	0	0	1	0	0	1	0	0	0	N
992a	1	0	1	0	0	0	1	0	0	B
993a	1	0	1	0	0	0	1	0	0	B
995a	0	0	1	0	0	0	0	1	0	B
997a	0	0	1	0	0	1	1	1	0	B
999a	1	0	1	0	0	1	1	0	0	DL
1001a	0	0	1	0	0	1	0	1	0	B
1003a	1	0	1	0	0	0	1	1	0	B
1005a	1	0	1	0	0	0	1	1	0	B
1006a	1	0	1	0	0	0	1	1	0	B
1011a	0	0	1	1	0	1	0	1	0	DL
1012a	1	0	1	0	0	1	0	0	0	B
1013a	1	0	1	0	0	1	0	0	0	DL
1014a	0	0	1	1	0	0	1	0	0	B
1015a	1	0	1	0	0	0	0	0	0	B
1017a	0	0	1	0	0	1	0	0	0	B
1020a	0	0	1	0	0	1	0	0	0	B
1023a	0	0	1	0	0	1	0	0	0	B
1024a	0	0	1	0	0	1	0	1	0	DL
1025a	1	0	1	0	0	0	1	0	0	N
1027a	0	0	1	0	0	0	0	0	1	B
1030a	0	1	1	0	0	1	0	1	0	B
1032a	1	0	1	0	0	1	0	0	0	B
1034a	1	0	1	0	0	0	1	0	0	S
1035a	0	0	1	0	0	1	0	1	0	B
1036a	1	0	1	1	0	1	0	0	0	B
1040a	1	0	1	0	0	0	1	0	0	B
1041a	1	0	1	0	0	0	0	1	0	DL
1042a	1	0	1	0	0	1	0	0	0	B
1051a	1	0	1	0	0	0	1	0	0	B
1056a	0	0	1	0	0	1	1	0	0	B
1058a	0	0	1	0	0	1	0	1	0	DL
1059a	1	0	1	1	0	1	0	0	0	B
1060a	1	0	1	0	0	1	0	1	0	N
1062a	1	0	1	1	0	1	0	0	0	B
1063a	1	0	1	0	0	0	0	1	0	B
1066a	1	0	1	0	0	0	0	1	0	B
1067a	0	0	1	0	0	1	1	0	0	B
1070a	0	0	1	0	0	1	0	1	0	B
1071a	1	0	1	0	0	1	0	0	0	B
1072a	0	0	1	0	0	1	0	0	1	DL
1073a	1	0	1	0	0	1	0	1	0	B
1075a	0	0	1	0	0	1	0	0	0	B
1077a	0	0	1	1	0	1	1	0	0	B
1078a	0	0	1	0	0	1	0	1	0	B
1079a	1	0	1	0	0	1	1	1	0	B
1081a	0	0	1	0	0	1	0	1	0	DL
1085a	1	0	1	0	0	1	0	0	0	DL
1086a	1	0	1	0	0	1	0	0	0	B
1089a	1	0	1	0	0	1	0	1	0	B
1098a	0	0	1	0	0	1	0	1	0	B
1100a	1	0	1	0	0	0	1	0	0	B
1101a	1	0	1	1	0	0	0	0	0	B
1103a	1	0	1	1	0	0	1	0	0	B
1106a	0	0	1	0	1	1	0	1	0	B
1107a	1	0	1	0	1	1	0	0	0	B
1110a	1	0	1	1	0	1	0	0	0	B
1113a	1	0	1	0	0	1	0	0	0	B
1114a	1	0	1	1	0	1	0	0	0	DL
1116a	1	0	1	0	0	1	0	0	0	B
1121a	0	0	1	0	0	1	0	0	0	B
1126a	0	0	1	0	0	1	0	0	0	B
1127a	1	0	1	1	0	1	0	0	0	B
1130a	1	0	1	1	0	1	0	0	0	B
1131a	0	0	1	0	0	1	0	0	0	N
1132a	0	0	1	0	0	0	1	1	0	B
1134a	0	0	1	0	0	1	0	0	0	B
1136a	0	0	1	1	0	1	1	0	0	B
1138a	0	0	1	0	0	1	0	1	0	DL
1140a	1	0	1	1	0	1	0	0	0	B
1141a	0	0	1	0	0	1	0	0	0	S
1142a	1	0	1	1	0	1	0	0	0	B
1148a	0	0	1	0	0	1	0	1	0	B
1150a	0	0	1	0	0	1	0	1	0	B
1151a	1	0	1	1	0	1	0	0	0	B
1152a	0	0	1	0	0	1	0	1	0	DL
1156a	0	0	1	0	0	1	0	0	0	DL
1158a	0	0	1	0	0	1	0	0	1	S
1159a	0	0	1	0	0	1	0	0	0	B
1160a	0	0	1	0	0	1	0	0	0	DL
1163a	0	0	1	0	0	1	0	1	0	B
1164a	0	0	1	0	0	1	0	0	0	B
1166a	0	1	1	0	0	1	0	0	0	DL
1168a	0	1	1	0	0	1	0	0	0	DL
1171a	1	0	1	1	0	1	0	0	0	DL
1172a	0	1	1	0	0	1	0	0	0	B
1173a	1	0	1	1	0	1	0	0	0	DL
1174a	0	0	1	0	0	1	0	0	0	DL
1176a	1	0	1	1	0	1	0	0	0	B
1181a	1	0	1	0	0	1	0	1	0	B
1183a	0	0	1	0	0	1	0	0	0	DL
1185a	0	0	1	0	0	1	1	0	0	B
1186a	0	0	1	0	0	1	0	0	0	B
1187a	0	0	1	0	0	1	0	0	0	DL
1189a	0	0	1	0	0	1	0	0	0	B
1197a	0	0	1	1	0	1	0	0	0	B
1198a	0	0	1	0	0	1	0	0	0	DL
1199a	1	0	1	0	0	1	0	0	0	B
